Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_CW95_MUSICPLAYER_NAME,Cassette Player,"Player K7 ""MusikGorod3000""",,,,,,,,"Lecteur K7 ""MusikGorod3000""",,,,,
STR_CW95_MUSICPLAYER_DESC,Put some cassettes in me senpai,"Un lecteur de cassettes audio dernier cri. Pour une fête réussie, ne pas oublier d'y adjoindre une bouteille de vodka et une krasavitsa à la jambe mutine.",,,,,,,,"Un lecteur de cassettes audio dernier cri. Pour une fête réussie, ne pas oublier d'y adjoindre une bouteille de vodka et une krasavitsa à la jambe mutine.",,,,,
STR_CW95_CASSETTEBASE_NAME,Cassette,Cassette,,,,,,,,Cassette,,,,,
STR_CW95_CASSETTEBASE_DESC,"Step into the past with this authentic and rare gem from the heart of the Eastern Bloc. This cassette tape is a piece of history, encapsulating the spirit of an era defined by change, resilience, and the power of music.","Step into the past with this authentic and rare gem from the heart of the Eastern Bloc. This cassette tape is a piece of history, encapsulating the spirit of an era defined by change, resilience, and the power of music.",,,,,,,,"Entrez dans le passé avec ce joyau authentique et rare du cœur du bloc de l’Est. Cette cassette est un morceau d’histoire, résumant l’esprit d’une époque définie par le changement, la résilience et le pouvoir de la musique.",,,,,
STR_CW95_KEYBIND_COMPASS,Vitrual Compass (HOLD),Vitrual Compass (HOLD),,,,,,,,Bousole Virtuel (Maintenir),,,,,
STR_CW95_CigarettePack_Chernamorka_NAME,Paquet de cigarettes 'Chernamorka',Paquet de cigarettes 'Chernamorka',,,,,,,,Paquet de cigarettes 'Chernamorka',,,,,
STR_CW95_CigarettePack_Chernamorka_DESC,Un paquet de cigarettes de la marque 'Chernamorka'. La marque préférée des vrais patriotes.,Un paquet de cigarettes de la marque 'Chernamorka'. La marque préférée des vrais patriotes.,,,,,,,,Un paquet de cigarettes de la marque 'Chernamorka'. La marque préférée des vrais patriotes.,,,,,
STR_CW95_CigarettePack_Merkur_NAME,Paquet de cigarettes 'Merkur',Paquet de cigarettes 'Merkur',,,,,,,,Paquet de cigarettes 'Merkur',,,,,
STR_CW95_CigarettePack_Merkur_DESC,"Un paquet de cigarettes de la marque 'Chernamorka'. Pas de doute, on trouvera pas mieux niveau qualité.","Un paquet de cigarettes de la marque 'Chernamorka'. Pas de doute, on trouvera pas mieux niveau qualité.",,,,,,,,"Un paquet de cigarettes de la marque 'Chernamorka'. Pas de doute, on trouvera pas mieux niveau qualité.",,,,,
STR_CW95_CigarettePack_Partyzanka_NAME,Paquet de cigarettes 'Partyzanka',Paquet de cigarettes 'Partyzanka',,,,,,,,Paquet de cigarettes 'Partyzanka',,,,,
