NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.5760 |           0.5760
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4497 |           0.4497
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0029 |           0.0029
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0091 |           0.0091
ExpansionQuestModule::OnInit                                                               |          1 |           0.0158 |           0.0158
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0192 |           0.0192
ExpansionSettings::GameInit                                                                |          2 |         155.7800 |          77.8900
ExpansionSettings::Init                                                                    |          2 |           0.0257 |           0.0128
ExpansionSettings::Unload                                                                  |          1 |           0.0554 |           0.0554
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0136 |           0.0136
Land_Lighthouse::Land_Lighthouse                                                           |          2 |           0.0213 |           0.0106
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0115 |           0.0115
SurvivorBase::OnPlayerLoaded                                                               |          1 |           0.6779 |           0.6779
